word,synonyms,sentence
countervail,,
court,,"If he thinks he can remain in power
by force he is courting disaster.
如果他认为可以通过武力继续掌权 ，
那他就是在自寻死路 。"
courteous,,"The staff is well trained in courteous
and attentive service to each and ev ery guest.
员工训练有素，为每一位客人提供礼
貌周到的服务。"
covert,clandestine,"They have been supplying covert mil
itary aid to the rebels.
他们一直在暗地里向叛乱者提供军事支援。"
covetous,,
cow,,"I'm sure it was deliberately done to c
ow us.
我确信，这一事件经过精心策划 ，目
的是恐吓我们。"
cowardice,,"He openly accused his opponents of
cowardice.
他公然指责对手胆小懦弱 。"
cower,,"A gun went off and people cowered behind walls and under tables.
一声枪响，人们缩到墙后或桌子底下躲起来。"
coy,,"He was charmed by the young
woman's coy smile.
他被这名年轻女子的娇羞笑容迷住了
。"
cozen,,
cramped,,
crass,,"The government has behaved with c rass insensitivity.
该政府行事愚蠢而且麻木不仁 。"
crave,,"We crave to have more of those deli cious moments we may have
had with a romantic partner.
我们渴望能与爱情伴侣一起拥有更多
这样美好的时刻。"
craven,,
credence,,
credit,,"The credit card business is down, an d more borrowers are defaulting onlo ans.
信用卡业务出现了下滑 ，而且越来越多的借款者都不按期还款 。"
credulous,trusting,"Mary is so credulous that she may r
eadily accept any excuse you make.
玛丽很轻信，你随便找个借口她都可
以相信。"
creep,,
crescendo,,
crest,,
crestfallen,disgruntled,"When he heard that he had failed th
e exam, he hung his head looking crestfallen.
听说自己没考及格，他耷拉下脑袋，
看上去垂头丧气的。"
cronyism,,"Many small town mayor and city offi cial practice cronyism.
许多小镇的市长和大城市的官员都有
任人唯亲的行为。"
crook,,
croon,,"He would much rather have been cr
ooning in a smoky bar.
他宁愿在烟雾缭绕的酒吧里哼唱歌曲
。"
crow,,
crucial,,
crumple,,
crutch,,
crux,,
cryptic,elusive,"He has issued a
short, cryptic statement denying the spying charges.
他发表了一个简短隐晦的声明 ，否认
对其间谍行为的指控 。"
culminate,,"In just a few days, a century-
long struggle will culminate in a histo ric vote.
几天之后，在历史性的投票中，长达
一个世纪的努力即将达到高潮"
culpable,,"They held him culpable for the offence.
他们认为他有罪应受惩罚 。"
cultivate,,
cumbersome,unwieldy,"Although the machine looks cumber some, it is actually easy to use.
尽管这台机器看上去很笨重 ，操作起来却很容易。"
cunning,crafty,"In the story, the cunning fox
outsmarts the hunters.
在这个故事中，狡猾的狐狸智取了猎
人们。"
curmudgeon,,
cursory,perfunctory/casual,"Burke cast a cursory glance at the m
enu, then flapped it shut.
伯克匆匆地瞥了一眼菜单 ，然后啪地
合上了。"
curt,laconic/terse/taciturn,"Her tone of voice was curt.
她说话的语气唐突无礼 。"
curtail,mitigate,"TO plans to curtail the number of
troops being sent to the region.
北约计划缩减派往该地区的士兵数量
。"
cynic,,
dabble,,
daft,,
dally,,
damn,,
dampen,deaden,"The government has been trying to
dampen expectation of a quickecono mic recovery.
政府一直在设法抑制人们对经济迅速
复苏的期望。"
damper,,
dandy,,
dank,,
dapper,,
dappled,,
daredevil,,"A daredevil parachutist jumped from the top of Tower Bridge today.
一位大胆鲁莽的跳伞者今天从伦敦塔
桥的桥顶跳了下去。"
dart,,
dashing,,
dated,,"The dated machinery is still housed i
n one section of the factory, but it is being phased out.
这些陈旧的机器如今仍然待在工厂一
角，但正在被逐渐淘汰。"
daunt,,
dawdle,,
dazzling,,"The evening was crowned by her
dazzling performance.
她那令人炫目的表演把晚会的气氛推
向高潮。"
deadlock,,"They called for a compromise on all sides to break the deadlock in the w orld trade talks.
他们呼吁各方作出让步以打破世界贸
易谈判中的僵局。"
deadpan,,"Some people don't catch
his deadpan humor, that makes it even funnier.
有些人不能了解他那种无表情的幽默 ,
因此更有趣。"
dearth,paucity/modicum,"There was a dearth of reliable
information on the subject.
关于这个课题缺乏可靠资料 。"
debacle,fiasco,"After the debacle of the war the
world was never the same again.
经历了这场战争的惨败之后 ，世界再
也不是原来的那个样子了 。"
debark,,
debase,,"Politicians have debased the
meaning of the word freedom.
政客们贬低了“自由”一词的意义。"
debilitate,,"Prolonged strike action debilitated
the industry.
长时间的罢工削弱了这个行业的活力
。"
debonair,,
debris,,
debunk,,"His theories have been debunked by
recent research.
最近的研究揭穿了他的理论的真相 。"
debut,,
decadence,,
decadent,,"Don’t let decadent ideas eat into
yourselves.
别让腐朽的思想侵蚀你 。"
decipher,,"The Coastguard needs
to decipher garbled messages in a few minutes.
海岸警卫队需要在几分钟内解读这些
含混不清的信息。"
decode,,"All he had to do was decode it and
pass it over.
他需要做的就是将它破译然后转给他
人。"
decorous,,"They go for decorous walks every
day in parks with their nanny.
他们每天都和保姆一起在公园里散
步，表现得很有教养。"
decrepit,,
decry,condemn,"People decried the campaign as a w aste of money.
人们谴责这一活动是浪费金钱 。"
default,,
defer,,
deficiency,,
deflect,shrugoff,"The war did not deflect him from the
path he had long ago taken.
战争并没有使他放弃自己很久以前就
选择的道路。"
defray,,
deft,canny,"The pianist has deft fingers.
钢琴家有灵巧的双手 。"
defuse,,
defy,disregard/flout,"The towering pine and cypress
trees defy frost and snow.
松柏参天傲霜雪。"
dehydrate,,
deify,,"Valentino was virtually deified by legi
ons of female fans.
瓦伦蒂诺几乎被众多的女性崇拜者奉
若神明。"
deign,,
deject,,
delegate,,"Officials have now been delegated t o start work on a draft settlement.
现在已经委派官员着手起草解决方案
。"
deleterious,"counterpr
oductive/detrimental/
devastating","Petty crime is having a deleterious ef fect on community life.
轻微罪行正对社区生活产生有害影响
。"
deliberate,calculated,"She deliberated over the decision for a long time before she made up her mind.
她慎重考虑了好久才下定决心作出这一决定。"
delicacy,,
delineate,,"Biography must to some extent delin
eate characters.
传记必须在一定程度上描绘人物 。"
delirium,,
deluge,,
delusion,,
delve,,"If you're interested in a subject, use t
he Internet to delve deeper.
如果对某一主题感兴趣 ，就上网进一
步深入研究。"
demagogue,,
demanding,exacting,"He described Morris as an excessively demanding and faultfinding tutor.
他将莫里斯描述为一个过度苛刻和挑
剔的导师。"
demography,,
demolition,,
demonstrate,,
demoralize,,"Clearly, one of the objectives is to de moralize the enemy troops in any wa y they can.
很明显，目标之一就是要用一切可能
的手段打击敌军的士气 。"
demote,,
demotic,,
demur,,"If even a few nations demur or
cheat, the whole system can break down.
若再有一些国家出现反对或欺骗的情
况，那么整个系统都将崩溃 。"
denigrate,,"To assert this is to denigrate the
effectiveness  of the police.
坚持这一点就是贬低警方的办事能力
。"
denounce,lambast,"The letter called for trade union free dom and civil rights, but did not open ly denounce the regime.
这封信呼吁保障工会自由和公民权
利，但没有公开谴责该政权 。"
dent,,
denude,,
dependable,,
deplete,,"They fired in long bursts, which depl
eted their ammunition.
他们长时间开火，耗尽了弹药。"
deplorable,reprehensible,"The judge said that discrimination
against homosexuals  is deplorable.
法官说对同性恋者的歧视应予以谴责
。"
deplore,,
deploy,,
deportation,,
depose,,
deposit,,
depravity,,
deprecate,,
depreciate,,
depressed,,
deprivation,,
deracinate,,
derelict,,"Rumor had it that although Louise
lived in a derelict house, he was really very wealthy.
传言说虽然路易斯住在破败的房子
里，但他其实很有钱。"
deride,,
derivative,,"A lot of what you see in stand-
up comedy today is very derivative.
如今人们看到的单人喜剧表演好多内
容都是沿袭前人。"
descend,,
desecrate,,
desiccate,,
designate,,"Some of the rooms were designated
as offices.
其中一些房间被指定用作办公室 。"
despicable,,
despise,,
despotic,,
desultory,,"The constables made a desultory att
empt to keep them away from the ba rn.
警察漫不经心地拦着不让他们靠近谷
仓。"
detach,,
detain,,
deter,constrain,"Arrests and jail sentences have don e nothing to deter the protesters.
逮捕和监禁都没能吓倒抗议者 。"
deterioration,decay/decline,"The recent deterioration has been c aused by an apparently endless recession.
看似永无止境的经济衰退导致了最近的恶化。"
detest,,
detour,,
detract,deprecate,"That does not detract from his
merit.
那没有贬低他的功绩 。"
detritus,,"A channel chokes in its own detritus.
河道被它自己的碎屑物质堵塞 。"
devious,guile/indirect,"His devious nature was shown in half-lies and small dishonesties.
他不正直的天性表现在小谎话及细小的不诚实行为中。"
devoted,,
devout,,
dexterous,nimble,"As people grow older they generally
become less dexterous.
随着年龄的增长，人通常会变得不再
那么手巧。"
diabolic,,
diaphanous,,
diatribe,rant,"The book is a diatribe against the ac ademic left.
该书对学界左派进行了抨击 。"
dichotomy,,
dictate,,
didactic,preachy,"Most of the articles in the magazine
are of a didactic nature.
杂志上大部分文章的本质都是说教性
的。"
diehard,,
diffuse,spread/disperse/wordy,"His talk was so diffuse that I missed his point.
他的谈话漫无边际, 我抓不住他的要点。"
dignified,,
digress,,"I've digressed a little to explain the si
tuation so far, so let me now recap.
刚才我稍稍离题说明了迄今的情况 ，
现在让我来概述一下 。"
dilapidate,,"The building had been dilapidated by neglect.
这座大楼因失修而圮毁 。"
dilate,,
dilatory,sluggish/remiss/laggard,"The boss sacked a dilatory worker y
esterday.
昨天老板开除了一个凡事都爱拖延的
人。"
dilettante,,"Dilettante watch the scene of bustle, adept guard the entrance.
外行看热闹, 内行看门道。"
diligent,industrious,"Meyers is a diligent and prolific write
r.
迈耶斯是个勤奋多产的工人 。"
dilute,,"If you give your baby juice, dilute it w
ell with cooled, boiled water.
如果给婴儿喝果汁，要用凉开水充分
稀释。"
diminish,,"The evidence suggests that our sen
se of touch is programmed to diminis h with age.
有证据表明，我们的触觉会随着年龄
的增长而减损。"
diminutive,minuscule,"She bought a diminutive toy for her d
aughter.
她给女儿买了个小巧可爱的玩具 。"
dingy,,
diocesan,,
diplomatic,,
dire,,"A government split would have dire c onsequences  for domestic peace.
政府的分裂将会给国内和平带来严重
后果。"
disabuse,,
disaffected,,
disarm,,
disarray,,"The nation is in disarray following rio
ting led by the military.
军队发动暴乱之后国家陷入混乱中 。"
disavow,,"Dr. Samuels immediately disavowed the newspaper story.
赛缪尔斯博士当即对新闻报道予以了
否认。"
discern,,
discharge,,"Military members who acknowledge
homosexual conduct are subject to d isciplinary action including discharge or court-martial.
那些承认有同性恋行为的军人将会遭受诸如解雇或者接受军事审判之类的
惩戒。"
disciple,adherent,"He was an ardent disciple of Gandhi.
他是甘地的忠实信徒 。"
discombobulate,,
discomfit,,"He will be particularly discomfited by the minister's dismissal of his plan.
部长对他计划的不理会将使他特别尴
尬。"
discommode,,
discompose,,
disconcert,,"The ambassador was clearly discon
certed by the British reaction.
显然，英国的反应让这位大使很不安
。"
discord,,
discredit,,"They spread disinformation in order t o discredit politicians.
他们散布假消息，企图败坏政治家的
名声。"
discreet,injudicious,"I should make a few discreet
enquiries about the firm before signing anything.
我应先审慎打探一下这家公司的底细 ,
然后再签字。"
discrepancy,incongruity,"Several explanations spring to mind
for the discrepancy between perceived opportunities
and actual behavior.
有些理由可以解释理想的机会和现实
的行为之间存在的矛盾 。"
discrete,,"Social structures are not discrete obj
ects; they overlap and interweave.
社会结构之间不是离散的 ，他们相互
重叠交织。"
discretion,,"Discretion in speech is more than eloquence.
出言慎重胜过口若悬河 。"
discretionary,,"Magistrates were given wider discret
ionary powers.
地方法官被赋予了更广泛的自由决定
权。"
discriminate,,
discursive,,"His own toast was discursive and
overlong, though rather touching.
他自己的祝酒词虽然也颇为动人 ,但是
比较松散而冗长。"
disdain,opprobrium/contempt,"Jackie disdained the servants that h
er millions could buy.
杰姬鄙视那些她用钱就可以收买的奴
仆。"
disenchant,,"If something
could disenchant voters, it would be the image of a political leader who is relying on an omnipotent image to woo votes.
一个依赖以往的成绩和无所不能的形象来争取选票的政治领导人 , 只会使
选民感到失望。"
disengage,,"He managed to disengage himself
from the contract.
他成功地为自己解除了契约义务 。"
disgorge,dump,"The combine disgorged a steady
stream of grain.
收割机不断吐出谷粒 。"
disgruntle,crestfallen,"He was disgruntled at their absence.
他对他们的缺席不满 。"
dishearten,depress/dismay,"But the reality of these formidable ch
allenges should not dishearten us.
但是，这些巨大挑战的现实不应使我
们心灰意冷。"
disinclination,,"They are showing a marked disinclin
ation to pursue these opportunities.
他们对争取这些机会明显表现出不乐
意。"
disinfect,,
disingenuous,,"It would be disingenuous  of me to cl aim I had never seen it.
要说我从未看到过，那就是言不由衷
了。"
disinter,,
disinterested,fair/impartial,The current sole superpower is far fr om being a disinterested observer.当前唯一的超级大国远不是一个公正的旁观者。
disjointed,,
disjunctive,,
disjunctive,,
dismantle,,"I had to dismantle the engine in
order to repair it.
我得把发动机拆开来修理 。"
dismay,,
disparage,slight,"Do not disparage anyone's contributi
on.
不要贬低任何人的贡献 。"
disparate,"heterogen
eous/diverse/dissimilar/
variant","The nine republics are immensely di sparate in size, culture and wealth.这9个共和国在面积、文化和财富上
迥然不同。"
dispassionate,temperate/analytical,"We, as prosecutors, try to be dispas
sionate about the cases we bring.
作为检察官，我们对经手的案件会尽
力做到不偏不倚。"
dispatch,celerity,"The Italian government was preparin g to dispatch 4,000 soldiers to searc h the island.
意大利政府正准备派遣 4,000名士兵搜索该岛。"
dispose,,
disprove,,"They accepted what he had said in
default of any evidence to disprove it.
由于没有相反的证据 ,他们相信了他的
话。"
disquisition,,"Built on the
significant findings of the disquisition
, this thesis raises some correlative and effective suggestions.
据研究得出的相关结论 ，本文提出了
有效的相关政策建议 。"
disregard,defy/contempt,"He disregarded the advice of his exe cutives.
他对主管层的建议置若罔闻 。"
dissect,,
dissemble,duplicity,"Henry was not slow to dissemble wh en it served his purposes.
在需要时，亨利会毫不迟疑地伪装自
己。"
disseminate,,"It took years
to disseminate information about Aids in Africa.
在非洲传播关于艾滋病方面的知识耗
时数年。"
dissension,,
dissent,,"He is the toughest military ruler yet a
nd has responded harshly to any dissent.
他是迄今最强硬的军事统治者 ，对任
何异议都一律进行打压 。"
dissipate,,"The body must dissipate heat as fast as it produces it.
人体散发热量必须和产生热量一样快
。"
dissolute,,
dissolve,,
dissonance,,
dissuade,,
distain,,
distal,,
distend,,"Air is introduced into the stomach to
distend it.
将空气导入胃部使之膨胀 。"
distill,,"We were asked to distill the crucial
points of the book.
我们被要求从这本书中提炼出关键点
。"
distinctive,,"Cooking with the lid on gives the foo
d that distinctive smoky flavor.
盖上盖子做会让这种食物有一种熏制
般的独特风味。"
distort,,"The media distorts reality and categorizes people as all good or all bad.
媒体会歪曲事实，将人说得不是完美
无缺就是一无是处。"
distract,,
distraught,,
diurnal,,
diverge,,
diversity,heterogeneity,"Few countries have as rich a diversit
y of habitat as South Africa.
几乎没有哪个国家像南非那样拥有如
此多样化的动植物栖生地 。"
divert,,
divestiture,,
divination,,"They're part of an ancient Greek divi nation ritual.
他们是古希腊占卜仪式的一部分 。"
divulge,,"Officials refuse to divulge details of
the negotiations.
官员们拒绝透露谈判的细节 。"
doctrinaire,dogmatic,"He is not a doctrinaire socialist.
他不是一个教条的社会主义者 。"
document,,
dodder,,
dodge,,
doff,,
dogged,,
dogmatic,"doctrinaire
/rigid","I am no pedant and avoid being dog matic concerning English grammar and expression.
我不是书呆子，不想在英语语法和表
达方式上过于教条主义 。"
doldrums,,
dolorous,,"He used dolorous tone, chaotic style
of painting showing extreme grief of our life.
他以忧伤的色调，纷乱的笔触，表达
出人生的最大悲痛。"
dolt,,
domicile,,
dominant,,
domineer,,
don,,"Today's bikini offers more support, a
nd the body-conscious woman is able to don a bikini in confidence.
今天的比基尼给人体多一些支撑 ，让
担心自己身材的女士有自信穿上它 。"
donor,,
doodle,,
doom,,"The chairman insisted that all was not doom and gloom.
主席坚持说不是所有的事情都是消极和注定失败的。"
dormant,,
dour,,
douse,extinguish,"Men came with buckets of water and began to douse the flames.
男人们提来一桶桶水灭火 。"
dovish,pacific,"The defense minister is a little bit more dovish than other people in the ruling elite.
国防大臣比上层统治集团中其他成员
都要温和。"
downplay,,"The government is trying to downplay the violence.
政府试图对暴力行为低调处理 。"
doyen,,
doze,,
drab,,
draconian,,"There has been an overall growth in
population, despite
some draconian efforts to contain it.
尽管有严厉的遏制措施 ,人口还是在全
面增长。"
dramatic,spectacular,"The Liberals have scored a dramatic
victory in this by-election.
自由党在本次补选中取得引人注目的
胜利。"
drawl,,
dread,,
dreary,tedious,"It is a dreary little town where few wo
uld choose to linger.
这是个沉闷的小镇，没几个人会愿意
在此流连。"
drench,,
drivel,,
drollness,,
drone,,
drudgery,,"He spent his life in pointlessly
tiresome drudgery.
他的一生都在做毫无意义的烦人的苦
差事。"
dubious,suspect,"This claim seems to us to be rather dubious.
在我们看来这种说法非常可疑 。"
ductile,,"Steel in this class is
tough, ductile and easily machined.
这种钢强韧, 延展性好,而且容易加工
。"
dulcet,,
dullard,,
dupe,,
duplicate,,"His task will be to duplicate his succ
ess overseas here at home.
他在海外取得了成功 ，现在的任务就
是要在国内再创辉煌 。"
duplicitous,,
dwindle,contract,"Exports are dwindling and the trade
deficit is swelling.
出口在缩减，贸易赤字在增长。"
dyspeptic,,
earnest,,His expression is as earnest when he smiles as when he is arguing.  他不论笑的时候还是争论的时候表情都同样真诚。
earsplitting,,
eavesdrop,,
ebullient,,"Besides ebullient congratulant word,
organizer brought a lot of exquisite gifts.
除了热情洋溢的祝贺词外 ，主办方还
带来了精美的小礼物 。"
eccentric,,"Geniuses are supposed to
be eccentric and hopelessly impractical.
天才通常都被认为行为古怪而且毫无
实践能力。"
éclat,,
eclectic,,"There are more and more anecdotal
examples of an eclectic art taste dev eloping in the Asian region.
来越多的逸闻例证表明 ，兼收并蓄的艺术品味已在亚洲地区逐渐显现出来
。"
eclipse,outdo,"The gramophone had been eclipsed by new technology such as the compact disc.
激光唱片等新技术使留声机黯然失色
。"
ecstasy,euphoria,"My father was in ecstasy when I won my scholarship.
我获得奖学金时父亲欣喜若狂 。"
ecumenical,,"Habitat for Humanity International, founded in 1976, is a nonprofit, ecumenical housing ministry.
国际人类住房项目成立于 1976年，是一个向大众提供普通屋的非营利性教
会组织。"
edible,,"The meat of the herbivore is, in comparison, far more edible and smell wise.
相比之下，食草动物的肉更易食用 ，
闻起来更美味。"
edifice,,
efface,,
effervesce,,
effete,,
efficacious,,
effluvium,,"The sources, components and output of effluvium derived from municipal wastewater treatment plants were introduced in this paper.
这篇论文介绍了城市污水处理厂臭气来源、成分及产量。"
effrontery,,
effulgent,,"Effulgent compose acts the role of
ablaze series, extremely attractive inwrought craft series, be today the mainstream that Xia Liang pulls.
光辉灿烂的缀饰闪亮系列 、极具魅力的刺绣工艺系列，是今夏凉拖的主流
。"
effusive,emotional,"He was effusive in his praise for the general.
他对那位将军极尽溢美之词 。"
egalitarian,,"I still believe in the notion of an egalit
arian society.
我仍然相信构建人人平等的社会的理
念。"
egoistic,,
elaborate,,"This is an elaborate management
training scheme for graduates.
这是一份针对毕业生的详尽的管理培
训计划。"
elastic,,
elate,,"The news of victory elate the whole
nation.
胜利的消息使得举国欢悦 。"
eleemosynary,,
elegy,,
elephantine,,
elevate,,
elicit,drawout,"The crime elicited an outcry against i
llicit drugs.
那起罪行引发了打击违禁药品的呼声
。"
elliptical,,
elucidate,,"Haig went on to elucidate his person al principle of war.
海格继续解释他个人的战争原则 。"
elude,puzzle,"Professor Ma proposed  a metaphor that eluded them.
马教授提出了一个他们理解不了的隐喻"
emaciate,,
emancipate,,"This new machine will emancipate us from the hard work.
这部新机器将把我们从繁重劳动中解
放出来。"
embargo,,"The United Nations imposed an arm
s embargo against the country.
联合国对那个国家实施了武器禁运 。"
embark,,
embarrass,,
embed,,"They used to kind of embed it in the
glass.
他们往往把它嵌在玻璃里 。"
embezzle,,
embolden,,"But the union's stance could embold en other critics.
但工会的姿态可能会为其他批评人士
壮胆。"
emboss,,
embrace,,"any users will embrace the new port
al technology and agree that the mig ration will pay dividends over time. 许多用户会欣然接受新的门户技术 ，并相信迁移总有一天会显出它的好处
。"
embroider,,
embryonic,rudimentary,"It is still in an embryonic stage.
它还处于萌芽阶段。"
emigrate,,
eminent,famous,"He is one of the three eminent profe
ssors in the college.
他是这所大学三名杰出教授之一 。"
emollient,,"Our president took an emollient approach to differences.
我的总统对分歧采取安抚策略 。"
empirical,,"More than ever, economics today is
an empirical discipline.
如今，经济学比以往任何时候都是一
门实证学科。"
emulate,imitate,"You must work hard to emulate your
sister.
你必须努力工作, 赶上你姐姐。"
enact,,"The king could not enact laws without the sanction of Parliament.
未经议会批准，国王不能制定法律。"
enamel,,
enamored,,
encomium,tribute,"He pronounced a
splendid encomium upon Alice in the forum.
他在广场上为爱丽丝作了华丽的赞颂
。"
encompass,,
encumber,,"They can't encumber us on the road.
他们不会在路上拖累大家 。"
encyclopedic,"exhaustive
/
polymathic","She has an encyclopedic  knowledge of natural history.
她具有广博的自然史知识 。"
endeavor,,
endemic,"native/
domestic/indigenous","Street crime is virtually endemic in la rge cities.
街头犯罪近乎是大城市的通病 。"
endorse,"sanction/commend/support/
authorize","I can endorse their opinion wholehea rtedly.
我可以全力支持他们的意见 。"
enervate,debilitate,"Idleness enervates the will to
succeed.
懒惰削弱了成功的决心 。"
enfranchise,,
engender,yield/induce,"The issue engendered continuing
controversy.
这个问题引起了不断的争论 。"
engross,,
enigma,,
enlighten,,"I hope the results of my research will enlighten my colleagues.
我希望我的研究成果会对我的同事们
有所启发。"
enmity,,"The enemy mask their enmity under
an appearance of friendliness.
敌人用友好的表象来掩饰内心的敌意
。"
ennoble,,"Hard work ennobles human spirit.
艰苦的工作使人精神变得高尚 。"
ennui,,"He decided to take
up a hobby to relieve the ennui of ret irement.
他决定养成一种嗜好以消除退休后的
无聊。"
ensconce,,
ensue,,"Trouble will ensue if wind of this
scandal gets out.
这件丑事一露出风声便会招来麻烦 。"
entail,,"The larger budget
deficits entailed by tax reform  would underpin yields on long-term Treasury bonds.
因税收改革而造成的更大的预算赤字
会支撑起长期国债的收益 。"
entangle,,"He became entangled in a series of
conflicts with the management.
他卷入了与管理层的一系列冲突之中
。"
enthrall,,"The boy was enthralled by the stories of adventure.
这孩子被冒险故事迷住了 。"
entice,,"The promise of higher pay enticed me into the new job.
高薪诱使我从事了这个新工作 。"
entrance,,"Her beauty entirely entrance him.
她的美丽完全使他出神了 。"
entrap,,
entreat,,"Trevor Steven entreated them to del
ay their departure.
弗·史蒂文恳求他们晚点走 。"
enunciate,,
ephemeral,transitory/short-lived,"These paintings are in some ways a
reminder that earthly pleasures are ephemeral.
这些画在某种意义上提醒人们世俗的
享乐是短暂的。"
epic,,"Their epic fight is the subject of a
new film.
他们史诗般的战斗是一部新电影的主题。"
epicure,,
epigram,,
epilogue,,"Fortinbras speaks the epilogue in Shakespeare's   Hamlet .
在莎士比亚的《哈姆雷特》中，由福丁布拉斯念收场白。"
episodic,,"My memories of childhood are hazy and episodic.
我儿时的回忆是一些朦朦胧胧的松散
片段。"
epithet,,
epitomize,,
equable,,"He was a man of the most equable
temper.
他是个脾气非常好的人 。"
equilibrium,,"For the economy to be in equilibrium
, income must equal expenditure.
经济要达到平衡，收支必须均衡。"
equity,,
equivalent,commensurate,"Even the cheapest car costs the equ ivalent of 70 years 'salary for a gover nment worker.
即使是最便宜的汽车 ，价格也相当于
一个公务员70年的薪水。"
equivocate,,
errant,wayward,"His errant son at Dartmouth ran up
debts of 250m.
他那行为出格的儿子在达特茅斯欠下
了高达2亿5千万英镑的债务。"
erratic,fickle/versatile/volatile/flighty/capricious,"Businessmen are displeased
with erratic economic policy- making.
商界人士对变化无常的经济决策很是
恼火。"
erudite,learned,"Even the most erudite native speake
r does not know the meaning of ever y word.
就算最博学的母语使用者也不可能知
道每个字的意思。"
escalate,,"The fighting escalated into a full- scale war.
这场交战逐步扩大为全面战争 。"
eschew,,"A wise person eschews bad
company.
聪明人远避恶友。"
escort,,
esoteric,recondite/arcane/abstruse,"The novel was too esoteric to
sustain much attention.
这本小说太玄奥以至于没能引起多少
注意。"
espouse,champion/advocate/defend,"She ran away with him to Mexico an
d espoused the revolutionary  cause.
她跟着他逃到墨西哥 ，并支持革命事
业。"
esteem,,"She is held in high esteem by her
colleagues.
她深受同事的敬重。"
estimable,,
estrange,unlinked/disaffect,"He became estranged from his family after the argument.
那场争吵后他便与家人疏远了 。"
etch,,"The ugly scene in the study was still
etched in her mind.
书房里丑陋的一幕在她脑海中依旧清
晰。"
eternal,,"Eternal glory to the people's heroes.
人民英雄永垂不朽。"
ethereal,,"She's the prettiest, most ethereal ro
mantic heroine in the movies.
她是所有电影中最美丽 、最超凡的爱
情女主角。"
ethics,,
ethos,,"As a notion of value, national ethos
possesses the value of cohesion, th at of spiritual sustenance and that of spiritual motivation.
民族精神作为一种价值观念 ，具有凝聚力价值、精神支撑价值和精神动力
价值。"
eulogize,lionize,"Leaders from around the world
eulogized the Egyptian president.
全世界的领导人都致悼词称颂那位埃
及总统。"
euphemism,,"The term early retirement is nearly al ways a euphemism for redundancy nowadays.
现在提前退休几乎就是裁员的委婉说
法。"
euphonious,,
euphoria,ecstasy,"There was euphoria after the electio
ns.
选举后一片兴高采烈 。"
evacuate,,"They were planning to evacuate the
seventy American officials still in the country.
他们当时在计划将仍在那个国家的 70
位美国官员撤离。"
evanescent,momentary,"The evanescent post-war economic
boom was quickly followed by a deep recession.
大萧条紧随短暂的战后经济繁荣而来
。"
everlasting,,"I have loved you with an everlasting
love!
我对你的爱从未改变 ！"
evict,,
evince,,"His conversation evinces great
courage.
他的谈话显示了很大的勇气 。"
evoke,,
exacerbate,aggravate,"Utter waste, together with inefficient
use of water
reserves exacerbate the crisis.
浪费加水资源的非有效利用更加加剧
了水危机。"
exacting,prescriptive/rigorous/demanding,"Products should be designed to
meet the exacting standards of today's marketplace.
产品的涉及应当符合当今市场严格的
标准。"
exalt,valorize,"His work exalts all those virtues that
we, as Americans, are taught to hold dear.
他的作品颂扬了所有那些身为美国人
应该珍视的美德。"
exasperate,,
excavate,,"The site has been excavated by
archaeologists.
这个遗址已被考古学家发掘出来 。"
exceptional,preternatural,"He showed exceptional musical
ability.
他显示出特殊的音乐才能 。"
excoriate,indict/crab,"Susan was excoriated for her
mistakes.
苏珊因犯了错误而被指责 。"
excrete,,
excruciate,,
exculpate,vindicate,"He was exculpated by the testimony
of several witnesses.
几名目击者的证词证明他无罪 。"
excursive,,
execrate,,"It is not polite to execrate others in th
e public.
在公共场合对他人咒骂很不礼貌 。"
exemplary,model,"Her behavior was exemplary.
她的行为堪作楷模。"
exempt,,"Soldiers were exempt from paying rates.
士兵免缴地方税。"
exhaust,,
exhilarate,,"We were exhilarated by the cool,
pine-scented air.
凉爽的、带有松香味的空气振作起我
们的精神。"
exhort,,
exigent,pressing,"It has becoming an exigent task to fi
nd a ""new continent"" of species reso urces.
寻找生物种质资源的 “新大陆”已经成
为了一个迫切的问题 。"
exodus,,
exonerate,absolve,"The report on the accident
exonerates the bus driver from any responsibility.
事故的报告认为公共汽车司机是没有
任何责任的。"
exorbitant,,"That seaside hotel charges
exorbitant prices during the summer holidays.
那家海滨旅馆在夏天休假期间漫天要
价。"
exorcise,,
exotic,,"The chorus is given oriental coloring
by the use of exotic instruments.
使用外来乐器给合唱增添了东方色彩
。"
expansive,,
expediency,,"This was a matter less of morals
than of expediency.
此举只是权宜之计，不关乎道德问题
。"
expedite,facilitate/accerlerate,"The government has been extremely reluctant to expedite investigations  t hat might result in his trial.
当局极不情愿推进调查 ，因为其结果
可能会让他接受审判 。"
expiate,,
expire,,
explicate,,
explicit,,"He was explicit about his intention to overhaul the party's internal voting s ystem.
他直言自己的目的是改革党内的投票制度。"
exploit,,"The government and its opponents
compete to exploit the troubles to their advantage.
政府及其反对派竞相利用这些问题为
自己谋利。"
exponent,,"She was a leading exponent of free trade during her political career.
她从政期间是自由贸易的主要倡导者
。"
expostulate,,"His family expostulated with him.
家人和他意见相左。"
expurgate,,"My favorite
writer heavily expurgated the work in the second edition.
在第二版作品中，我最喜爱的那位作
家进行了大幅删减。"
exquisite,,"The Indians brought in exquisite beadwork to sell.
印第安人带了精美的珠饰来卖 。"
extant,,"Two fourteenth -century manuscripts
of this text are still extant.
这个文本仍有两份 14世纪手抄本存世
。"
